matrix_index_0based,id,type,x,y,z,r,parent,mass
159,159,0,73.41,400.106,103.59,1.0,158,0.0049504950495049506
160,160,0,76.574,397.045,104.265,1.0,159,0.0049504950495049506
161,161,0,87.17,440.44,110.34,1.0,81,0.0049504950495049506
162,162,0,95.821,401.551,112.365,1.0,11,0.0049504950495049506
163,163,0,95.322,401.448,106.245,1.0,162,0.0049504950495049506
164,164,0,93.688,402.738,100.755,1.0,163,0.0049504950495049506
165,165,0,94.084,405.094,98.595,1.0,164,0.0049504950495049506
166,166,0,95.391,405.8,97.875,1.0,165,0.0049504950495049506
167,167,0,100.947,407.571,98.01,1.0,166,0.0049504950495049506
168,168,0,105.384,403.134,95.4,1.0,167,0.0049504950495049506
169,169,0,103.974,405.352,96.165,1.0,168,0.0049504950495049506
170,170,0,104.301,405.06,95.85,1.0,169,0.0049504950495049506
171,171,0,105.746,413.866,96.57,1.0,167,0.0049504950495049506
172,172,0,106.95,414.881,96.39,1.0,171,0.0049504950495049506
173,173,0,94.497,397.458,104.085,1.0,163,0.0049504950495049506
174,174,0,92.398,393.433,103.05,1.0,173,0.0049504950495049506
175,175,0,87.926,391.919,101.835,1.0,174,0.0049504950495049506
176,176,0,97.249,404.286,115.65,1.0,11,0.0049504950495049506
177,177,0,91.796,401.93,117.81,1.0,176,0.0049504950495049506
178,178,0,87.772,399.969,121.095,1.0,177,0.0049504950495049506
179,179,0,85.106,400.02,122.58,1.0,178,0.0049504950495049506
180,180,0,82.577,402.308,127.665,1.0,179,0.0049504950495049506
181,181,0,82.646,402.17,127.125,1.0,180,0.0049504950495049506
182,182,0,103.75,407.932,106.785,1.0,12,0.0049504950495049506
183,183,0,101.274,412.783,103.86,1.0,182,0.0049504950495049506
184,184,0,101.102,413.66,104.22,1.0,183,0.0049504950495049506
185,185,0,101.084,414.021,104.535,1.0,184,0.0049504950495049506
186,186,0,100.345,403.684,115.965,1.0,11,0.0049504950495049506
187,187,0,99.02,407.554,119.16,1.0,186,0.0049504950495049506
188,188,0,98.642,408.104,122.535,1.0,187,0.0049504950495049506
189,189,0,94.359,409.687,125.505,1.0,188,0.0049504950495049506
190,190,0,97.197,408.93,123.03,1.0,189,0.0049504950495049506
191,191,0,106.967,408.758,114.21,1.0,12,0.0049504950495049506
192,192,0,108.136,408.947,117.09,1.0,191,0.0049504950495049506
193,193,0,96.853,404.372,115.56,1.0,11,0.0049504950495049506
194,194,0,96.647,405.456,115.29,1.0,193,0.0049504950495049506
195,195,0,96.922,405.714,115.38,1.0,194,0.0049504950495049506
196,196,0,97.593,406.367,115.965,1.0,195,0.0049504950495049506
197,197,0,97.094,406.298,115.155,1.0,196,0.0049504950495049506
198,198,0,96.647,406.126,115.2,1.0,197,0.0049504950495049506
199,199,0,92.416,400.313,118.53,1.0,10,0.0049504950495049506
200,200,0,86.929,397.63,117.225,1.0,199,0.0049504950495049506
201,201,0,64.982,396.34,131.175,1.0,3,0.0049504950495049506
